OBJECTID;Name;Exposition;Hangneig;Woelbung;TWIndex;LS-Faktor;Pfad_Fluss;Pfad_Dorf
179;B0180;310,2359924;7,861470222;-46,5705986;-1,70878005;8,277059555;9532,240234;1590,640015
180;B0181;258,6900024;15,04179955;-8,179619789;-4,501160145;4,660150051;9682,69043;1065,01001
181;B0182;303,6900024;6,669690132;-7,058790207;-3,45442009;5,771160126;9748,820313;543,9890137
182;B0183;102,5289993;4,275080204;-6,350590229;-3,302439928;5,949260235;9880,509766;513,9299927
183;B0184;338,1990051;4,990809917;5,940899849;-5,803800106;3,607429981;9792,570313;421,7109985
184;B0185;0;5,557229996;-45,0923996;-7,077179909;2,784549952;9448,700195;563,7910156
185;B0186;107,4469986;8,459850311;-41,27059937;-7,604090214;2,506040096;9848,379883;147,9060059
186;B0187;350,5379944;2,823519945;-7,987909794;-7,6394701;3,22468996;9761,240234;256,0209961
187;B0188;180;0,929039001;-35,80599976;-3,657399893;7,935989857;9979,330078;268,8559875
188;B0189;23,74950027;6,318530083;5,876629829;-10,82619953;1,452039957;10116,2002;122,3310013
189;B0190;63,43489838;9,267419815;1,133730054;-6,542870045;2,762300014;10071,2002;164,5350037
190;B0191;23,19860077;1,768429995;-45,25569916;-16,18330002;3,051419973;10272,2002;300,7900085
191;B0192;18,43490028;2,202519894;-3,333570004;-5,121039867;4,756810188;10171,2002;177,6320038
192;B0193;243,4349976;1,038669944;-3,489500046;-7,184669971;3,616339922;10253,59961;275,631012
193;B0194;15,25510025;2,646519899;-2,588219881;-7,159850121;2,863260031;10287,5;808,2910156
194;B0195;66,25050354;6,318530083;-0,20961;-7,254479885;2,733330011;10464,2998;707,7609863
195;B0196;35,53770065;1,997339964;-9,177920341;-8,453040123;2,44314003;10321,59961;744,5930176
196;B0197;135;1,642019987;-32,43859863;-0,227605999;10,90439987;10200,7998;623,7249756
197;B0198;121,7590027;5,717840195;-22,6345005;-6,052370071;3,934410095;10034,2998;457,3120117
198;B0199;71,56500244;1,46875;-42,50979996;-0,759975016;12,63910007;9839,740234;262,7070007
199;B0200;291,0379944;3,231859922;-3,483799934;-2,742350101;6,654439926;9719,860352;159,128006
200;B0201;340,7099915;9,748680115;-7,694330215;-15,0010004;2,725939989;9637,230469;194,9329987
201;B0202;333,4349976;2,076669931;-3,408030033;-8,413459778;2,924350023;9380,169922;232,3670044
202;B0203;357,9549866;12,79880047;-15,5539999;-11,58580017;7,080949783;9083,910156;520,1619873
203;B0204;6,483069897;19,75079918;-14,39780045;-15,85879993;3,252949953;8747,870117;419,3989868
204;B0205;49,39870071;4,275080204;-6,2947402;-13,83580017;3,393779993;9022,480469;285,7369995
205;B0206;156,8009949;3,533499956;-49,34260178;-13,86340046;2,525290012;9037,969727;116,2009964
206;B0207;329,0360107;5,401599884;0,700007975;-12,56690025;4,87278986;9084,209961;421,769989
207;B0208;326,3099976;1,674520016;-23,03560066;-7,816589832;8,454939842;8955,429688;406,6159973
208;B0209;59,03620148;1,354159951;-7,820340157;-7,528590202;2,268049955;9148,230469;250,095993
209;B0210;331,6990051;10,18019962;-8,235349655;-6,559020042;3,874550104;10461,5;195,4250031
210;B0211;83,65979767;2,102440119;-9,473959923;-0,125569999;13,90600014;10376,40039;104,3280029
211;B0212;116,9660034;14,53499985;-1,03263998;-13,50220013;4,957799911;10283,90039;146,5529938
212;B0213;315;4,589069843;-5,288909912;0,308394015;12,24890041;10155;465,45401
213;B0214;185,1940002;10,15480042;-5,07103014;-4,501959801;4,680309772;9856,759766;771,6929932
214;B0215;135;0,985383987;-56,78030014;-7,386390209;2,683459997;4461,930176;1618,189941
215;B0216;310,9140015;4,600719929;-27,45919991;-9,692560196;8,031869888;1539,939941;718,4580078
216;B0217;271,2730103;10,34140015;-14,54119968;-6,641359806;17,18729973;1201,689941;392,7189941
217;B0218;284,348999;10,20049953;-11,93039989;-5,60447979;17,96039963;1579,439941;585,8150024
218;B0219;200,5559998;3,962869883;-4,153709888;-7,956099987;2,668100119;1293,609985;189,5769958
219;B0220;149,322998;15,54170036;-2,442420006;-15,27600002;3,149349928;1291,550049;237,9120026
220;B0221;77,47119904;8,503089905;3,406800032;-14,49520016;2,848360062;958,6760254;146,5039978
221;B0222;87,51039886;5,332049847;-21,5557003;-13,01049995;4,275109768;330,2019958;1853,48999
222;B0223;202,3800049;4,262539864;-31,37820053;-6,169529915;3,338809967;121,8219986;1298,400024
223;B0224;274,144989;15,66689968;-2,758579969;-17,90539932;2,095180035;305,4349976;152,2059937
224;B0225;5,194429874;10,15480042;-20,9633007;-15,00160027;3,232620001;860,4160156;732,1489868
225;B0226;281,9760132;7,787489891;-9,764360428;-14,72130013;3,034339905;680,5079956;566,5859985
226;B0227;295,3460083;4,871640205;-10,84980011;-6,588300228;3,820230007;73,3891983;1110,060059
227;B0228;102,9950027;3,095989943;-53,49160004;-10,09420013;1,753129959;8984,629883;1364,180054
228;B0229;81,86990356;3,281349897;-22,26720047;-0,221403003;11,10750008;8331,879883;328,6589966
229;B0230;161,5650024;0,734493971;-54,60589981;-6,687799931;3,527829885;8187,870117;603,1199951
230;B0231;218,9909973;6,25094986;-5,742740154;-13,32509995;4,027450085;8068,799805;499,9849854
231;B0232;141,3399963;2,971970081;-1,120689988;-6,98319006;2,837389946;8306,709961;103,5739975
232;B0233;78,69010162;2,367449999;-46,44589996;0,877209008;14,49769974;8162,209961;215,8049927
233;B0234;45;0,985383987;-15,01340008;-9,743709564;2,369649887;8045,830078;73,22949982
234;B0235;74,74490356;10,47529984;3,422480106;-2,06159997;7,625020027;7879,120117;255,7120056
235;B0236;330,9450073;2,390079975;-16,84090042;-1,736770034;8,136839867;7351,899902;761,8759766
236;B0237;49,39870071;4,275080204;-45,26279831;-5,770899773;4,514709949;3580,110107;199,1360016
237;B0238;324,4620056;3,989840031;-13,03829956;-4,846660137;4,329100132;2430,27002;208,1300049
238;B0239;176,9869995;8,769729614;-7,662930012;-17,40239906;2,042129993;3697,830078;1786,900024
239;B0240;130,6009979;4,275080204;4,596119881;-10,67840004;5,287399769;3502,889893;1830,359985
240;B0241;72,89730072;6,293270111;-18,19079971;-12,45639992;5,005839825;4630,100098;2576,439941
241;B0242;171,572998;12,47889996;1,305230021;-17,55330086;2,126490116;122,0849991;552,7930298
242;B0243;18,43490028;2,202519894;-13,03629971;-4,29019022;4,932229996;419,2799988;768,4760132
243;B0244;165,9640045;3,82517004;-1,385810018;-15,98449993;2,12887001;152,8049927;267,6019897
244;B0245;127,2350006;7,254730225;3,605350018;-13,99969959;3,939150095;152,7570038;200,4199982
245;B0246;195,2550049;10,47529984;-1,171129942;-15,59290028;2,954639912;116,564003;2055,110107
246;B0247;150,8029938;17,52610016;2,261339903;-16,32239914;2,892129898;527,7050171;1816,310059
247;B0248;159,7749939;9,323459625;-1,859570026;-14,98499966;3,327709913;509,0090027;1801,069946
248;B0249;288,4349976;0,734493971;-9,592149734;-10,8508997;5,481269836;435,2940063;1907,900024
249;B0250;95,06359863;17,82390022;-4,729800224;-15,90890026;3,131069899;749,0009766;1461,27002
250;B0251;276,5820007;11,98099995;4,204589844;-15,80230045;2,944329977;148,0540009;1749,650024
251;B0252;122,7350006;7,685400009;-4,47852993;-12,72949982;4,751339912;215,576004;1381,72998
252;B0253;187,8529968;13,35270023;0,261043012;-17,79850006;2,051919937;184,8630066;1249,069946
253;B0254;263,2900085;7,901519775;-2,121479988;-14,83010006;3,184299946;1367,079956;104,8649979
254;B0255;151,5570068;12,47889996;-6,475130081;-14,11139965;4,259250164;602,0430298;921,3070068
255;B0256;198,996994;14,65690041;-0,768648982;-14,4612999;4,062980175;514,4970093;977,742981
256;B0257;184,1450043;15,66689968;-2,584209919;-17,31459999;2,365700006;692,78302;872,9849854
257;B0258;202,3800049;12,60389996;-3,763989925;-14,3441;3,880110025;727,0209961;902,5800171
258;B0259;162,4080048;9,891300201;0,209356993;-13,66289997;4,327260017;812,3690186;955,5339966
259;B0260;218,2899933;5,604959965;-6,844890118;-12,94309998;4,33217001;792,0130005;1014,299988
260;B0261;208,0090027;12,17870045;-6,285059929;-16,55550003;2,528460026;801,4990234;1094,599976
261;B0262;196,5570068;8,894000053;-1,87401998;-14,39190006;3,685339928;962,7839966;1117,699951
262;B0263;197,6499939;10,60249996;-5,729489803;-15,6104002;2,963089943;996,4840088;1267,75
263;B0264;233,1300049;2,321530104;-6,394100189;-6,619150162;3,051680088;1198,800049;1430,47998
264;B0265;167,9889984;21,28639984;1,808680058;-14,90750027;4,021949768;579,8549805;987,8969727
265;B0266;130,1349945;15,13300037;-3,194070101;-14,24499989;4,233640194;337,0809937;1229,189941
266;B0267;142,0160065;20,57999992;-0,39042899;-16,58639908;2,851160049;390,6740112;1174,839966
267;B0268;98,13009644;8,15678978;-0,679103017;-12,95189953;4,915430069;305,7940063;1277,589966
268;B0269;160,7100067;9,748680115;-3,75977993;-14,95590019;3,526550055;123,1819992;1042,219971
269;B0270;141,8430023;8,214509964;7,165850163;-15,27159977;2,925930023;385,6950073;998,8359985
270;B0271;161,5650024;11,59179974;2,132560015;-13,1807003;5,047160149;347,2489929;876,7670288
271;B0272;225;4,589069843;-6,31400013;-9,93173027;7,411719799;509,2539978;709,9110107
272;B0273;164,1100006;30,00519943;2,799649954;-17,28709984;2,688210011;534,0609741;889,0770264
273;B0274;212,8289948;16,65309906;-11,71889973;-17,42550087;2,20223999;246,3529968;536,4619751
274;B0275;145,5209961;22,20490074;1,328830004;-17,13339996;2,509219885;190,0220032;318,0429993
275;B0276;186,3399963;4,199240208;-19,97940063;-5,306879997;4,024529934;61,0746994;533,4039917
276;B0277;192,9949951;9,216679573;-2,522380114;-13,8277998;3,994590044;277,6799927;498,875
277;B0278;315;4,915309906;-7,363409996;-14,19989967;3,532140017;819,1989746;1035,839966
278;B0279;90;14,97959995;0,270289004;-16,60470009;2,628109932;368,0939941;1025,5
